element_key,element_name,node_count,node1_id,node2_id,node3_id,node4_id,node5_id,node6_id,node7_id,node8_id,stress_x,stress_y,stress_z,stress_xy,stress_yz,stress_zx
1,CSTriangle,3,0,2,79,-1,-1,-1,-1,-1,7.84066E-08,7.84048E-08,0,-7.8405E-08,0,0
2,CSTriangle,3,20,1,22,-1,-1,-1,-1,-1,-5.51105E-07,-7.07073E-08,0,2.4156E-07,0,0
3,CSTriangle,3,40,21,87,-1,-1,-1,-1,-1,3.92427E-08,7.81335E-08,0,-6.30281E-08,0,0
4,CSTriangle,3,21,42,87,-1,-1,-1,-1,-1,7.25891E-08,2.4709E-08,0,-5.77247E-08,0,0
5,CSTriangle,3,60,41,88,-1,-1,-1,-1,-1,-2.01115E-07,1.60914E-08,0,1.74457E-08,0,0
6,CSTriangle,3,41,61,88,-1,-1,-1,-1,-1,-6.2193E-08,4.05983E-08,0,6.02288E-08,0,0
7,CSTriangle,3,61,62,89,-1,-1,-1,-1,-1,8.16897E-08,1.59793E-07,0,6.34041E-08,0,0
8,CSTriangle,3,88,61,89,-1,-1,-1,-1,-1,6.55065E-09,1.14839E-09,0,1.15962E-08,0,0
9,CSTriangle,3,62,63,90,-1,-1,-1,-1,-1,1.17245E-07,3.51734E-08,0,-2.48705E-08,0,0
10,CSTriangle,3,89,62,90,-1,-1,-1,-1,-1,2.00047E-07,1.65048E-08,0,2.34843E-08,0,0
11,CSTriangle,3,78,79,91,-1,-1,-1,-1,-1,1.21701E-07,3.65103E-08,0,3.05011E-08,0,0
12,CSTriangle,3,79,2,91,-1,-1,-1,-1,-1,2.7855E-07,1.32316E-08,0,-7.27752E-08,0,0
13,CSTriangle,3,2,3,92,-1,-1,-1,-1,-1,-6.23409E-08,-2.08943E-08,0,-3.5273E-08,0,0
14,CSTriangle,3,2,92,91,-1,-1,-1,-1,-1,4.95534E-08,-3.92665E-08,0,-5.96329E-08,0,0
15,CSTriangle,3,59,60,93,-1,-1,-1,-1,-1,-1.28812E-07,-5.80627E-10,0,3.88465E-08,0,0
16,CSTriangle,3,93,60,88,-1,-1,-1,-1,-1,-3.32635E-08,-1.19624E-09,0,2.76222E-08,0,0
17,CSTriangle,3,22,23,94,-1,-1,-1,-1,-1,4.66923E-08,5.36187E-08,0,4.27114E-08,0,0
18,CSTriangle,3,20,22,94,-1,-1,-1,-1,-1,7.17778E-08,-4.10536E-08,0,8.48334E-08,0,0
19,CSTriangle,3,19,20,95,-1,-1,-1,-1,-1,-2.89703E-07,-4.81779E-08,0,7.824E-08,0,0
20,CSTriangle,3,95,20,94,-1,-1,-1,-1,-1,-8.53772E-08,-8.36765E-08,0,1.2822E-07,0,0
21,CSTriangle,3,18,19,96,-1,-1,-1,-1,-1,-1.45402E-07,-1.77653E-08,0,4.33155E-08,0,0
22,CSTriangle,3,23,24,97,-1,-1,-1,-1,-1,1.28488E-07,7.99978E-08,0,-2.00723E-09,0,0
23,CSTriangle,3,24,25,98,-1,-1,-1,-1,-1,1.29597E-07,6.90769E-08,0,-5.69291E-09,0,0
24,CSTriangle,3,77,78,99,-1,-1,-1,-1,-1,8.94177E-08,2.68253E-08,0,1.86353E-08,0,0
25,CSTriangle,3,99,78,91,-1,-1,-1,-1,-1,1.04235E-07,4.50722E-09,0,1.62852E-08,0,0
26,CSTriangle,3,76,77,100,-1,-1,-1,-1,-1,7.39007E-08,2.21702E-08,0,1.21479E-08,0,0
27,CSTriangle,3,100,77,99,-1,-1,-1,-1,-1,8.11158E-08,1.06263E-08,0,1.2078E-08,0,0
28,CSTriangle,3,3,4,101,-1,-1,-1,-1,-1,1.00733E-08,-1.0261E-08,0,-1.88114E-08,0,0
29,CSTriangle,3,92,3,101,-1,-1,-1,-1,-1,4.69227E-08,3.74169E-09,0,-2.3465E-08,0,0
30,CSTriangle,3,4,5,102,-1,-1,-1,-1,-1,4.04711E-08,-4.91171E-09,0,-9.32557E-09,0,0
31,CSTriangle,3,101,4,102,-1,-1,-1,-1,-1,5.26248E-08,-4.89877E-10,0,-1.21406E-08,0,0
32,CSTriangle,3,58,59,103,-1,-1,-1,-1,-1,-5.37066E-08,-1.32033E-08,0,2.84049E-08,0,0
33,CSTriangle,3,103,59,93,-1,-1,-1,-1,-1,1.98753E-09,-4.33741E-09,0,3.09501E-08,0,0
34,CSTriangle,3,57,58,104,-1,-1,-1,-1,-1,-9.21868E-09,-6.8099E-09,0,1.48646E-08,0,0
35,CSTriangle,3,104,58,103,-1,-1,-1,-1,-1,1.37483E-08,-2.03829E-09,0,1.95661E-08,0,0
36,CSTriangle,3,17,18,105,-1,-1,-1,-1,-1,-6.92891E-08,-1.00454E-08,0,2.53192E-08,0,0
37,CSTriangle,3,18,96,105,-1,-1,-1,-1,-1,-3.00888E-08,-1.27795E-09,0,3.14912E-08,0,0
38,CSTriangle,3,25,26,106,-1,-1,-1,-1,-1,1.31634E-07,5.54033E-08,0,-5.678E-09,0,0
39,CSTriangle,3,63,64,107,-1,-1,-1,-1,-1,8.3211E-08,2.49633E-08,0,-1.71203E-08,0,0
40,CSTriangle,3,90,63,107,-1,-1,-1,-1,-1,9.39409E-08,1.05805E-08,0,-1.04811E-08,0,0
41,CSTriangle,3,16,17,108,-1,-1,-1,-1,-1,-2.43836E-08,-5.17036E-09,0,1.55293E-08,0,0
42,CSTriangle,3,56,57,109,-1,-1,-1,-1,-1,1.61004E-08,-3.63042E-09,0,8.29583E-09,0,0
43,CSTriangle,3,75,76,110,-1,-1,-1,-1,-1,6.75074E-08,2.02522E-08,0,8.307E-09,0,0
44,CSTriangle,3,76,100,110,-1,-1,-1,-1,-1,6.78529E-08,1.17075E-08,0,8.28962E-09,0,0
45,CSTriangle,3,5,6,111,-1,-1,-1,-1,-1,5.5796E-08,-2.41704E-09,0,-4.80439E-09,0,0
46,CSTriangle,3,102,5,111,-1,-1,-1,-1,-1,5.78771E-08,-2.46132E-10,0,-6.14328E-09,0,0
47,CSTriangle,3,26,27,112,-1,-1,-1,-1,-1,1.31716E-07,4.35422E-08,0,-4.70018E-09,0,0
48,CSTriangle,3,27,28,113,-1,-1,-1,-1,-1,1.31874E-07,3.38214E-08,0,-3.77806E-09,0,0
49,CSTriangle,3,55,56,114,-1,-1,-1,-1,-1,3.04299E-08,-2.11571E-09,0,4.72697E-09,0,0
50,CSTriangle,3,114,56,109,-1,-1,-1,-1,-1,3.19273E-08,-2.17824E-10,0,5.89799E-09,0,0
51,CSTriangle,3,54,55,115,-1,-1,-1,-1,-1,3.85101E-08,-1.40659E-09,0,2.57461E-09,0,0
52,CSTriangle,3,6,7,116,-1,-1,-1,-1,-1,6.38034E-08,-1.35771E-09,0,-2.53115E-09,0,0
53,CSTriangle,3,111,6,116,-1,-1,-1,-1,-1,6.2199E-08,-8.02345E-11,0,-3.26091E-09,0,0
54,CSTriangle,3,7,8,117,-1,-1,-1,-1,-1,6.78861E-08,-1.00019E-09,0,-1.1573E-09,0,0
55,CSTriangle,3,116,7,117,-1,-1,-1,-1,-1,6.52095E-08,-9.77707E-12,0,-1.69169E-09,0,0
56,CSTriangle,3,8,9,118,-1,-1,-1,-1,-1,6.92587E-08,-9.10802E-10,0,-7.26459E-11,0,0
57,CSTriangle,3,117,8,118,-1,-1,-1,-1,-1,6.67289E-08,1.73372E-11,0,-5.72925E-10,0,0
58,CSTriangle,3,9,10,119,-1,-1,-1,-1,-1,6.82508E-08,-9.22256E-10,0,9.61364E-10,0,0
59,CSTriangle,3,118,9,119,-1,-1,-1,-1,-1,6.66768E-08,2.27658E-11,0,4.29736E-10,0,0
60,CSTriangle,3,10,11,120,-1,-1,-1,-1,-1,6.48534E-08,-9.38996E-10,0,2.02184E-09,0,0
61,CSTriangle,3,11,12,121,-1,-1,-1,-1,-1,5.89973E-08,-9.42634E-10,0,3.11712E-09,0,0
