node_id,node_key,x,y,z,dx,dy,dz,rx,ry,rz
0,1,0,0,0,9.29388E-06,-1.20622E-06,0,0,0,0
1,2,1,0,0,0,0,0,0,0,0
2,3,0.05,0,0,1.05001E-05,3.60738E-06,0,0,0,0
3,4,0.1,0,0,8.96644E-06,4.58363E-06,0,0,0,0
4,5,0.15,0,0,9.29981E-06,4.94455E-06,0,0,0,0
5,6,0.2,0,0,1.03653E-05,5.18818E-06,0,0,0,0
6,7,0.25,0,0,1.17999E-05,5.47325E-06,0,0,0,0
7,8,0.3,0,0,1.34294E-05,5.85365E-06,0,0,0,0
8,9,0.35,0,0,1.51599E-05,6.35355E-06,0,0,0,0
9,10,0.4,0,0,1.69245E-05,6.98761E-06,0,0,0,0
10,11,0.45,0,0,1.86636E-05,7.75904E-06,0,0,0,0
11,12,0.5,0,0,2.03166E-05,8.65587E-06,0,0,0,0
12,13,0.55,0,0,2.1821E-05,9.64922E-06,0,0,0,0
13,14,0.6,0,0,2.31122E-05,1.06955E-05,0,0,0,0
14,15,0.65,0,0,2.41191E-05,1.17408E-05,0,0,0,0
15,16,0.7,0,0,2.47526E-05,1.27213E-05,0,0,0,0
16,17,0.75,0,0,2.48846E-05,1.35618E-05,0,0,0,0
17,18,0.8,0,0,2.43052E-05,1.41693E-05,0,0,0,0
18,19,0.85,0,0,2.26232E-05,1.43525E-05,0,0,0,0
19,20,0.9,0,0,1.91246E-05,1.36022E-05,0,0,0,0
20,21,0.95,0,0,1.1646E-05,1.16296E-05,0,0,0,0
21,22,1,1,0,2.19815E-06,1.62066E-05,0,0,0,0
22,23,1,0.05,0,2.5433E-05,2.07965E-06,0,0,0,0
23,24,1,0.1,0,3.57917E-05,3.03341E-06,0,0,0,0
24,25,1,0.15,0,4.08405E-05,4.02652E-06,0,0,0,0
25,26,1,0.2,0,4.37619E-05,4.79243E-06,0,0,0,0
26,27,1,0.25,0,4.54464E-05,5.19624E-06,0,0,0,0
27,28,1,0.3,0,4.63912E-05,5.29845E-06,0,0,0,0
28,29,1,0.35,0,4.68635E-05,5.15276E-06,0,0,0,0
29,30,1,0.4,0,4.70482E-05,4.81437E-06,0,0,0,0
30,31,1,0.45,0,4.70736E-05,4.35249E-06,0,0,0,0
31,32,1,0.5,0,4.70144E-05,3.85408E-06,0,0,0,0
32,33,1,0.55,0,4.68907E-05,3.41684E-06,0,0,0,0
33,34,1,0.6,0,4.66663E-05,3.14019E-06,0,0,0,0
34,35,1,0.65,0,4.62512E-05,3.11762E-06,0,0,0,0
35,36,1,0.7,0,4.55025E-05,3.43567E-06,0,0,0,0
36,37,1,0.75,0,4.42116E-05,4.18492E-06,0,0,0,0
37,38,1,0.8,0,4.20662E-05,5.47856E-06,0,0,0,0
38,39,1,0.85,0,3.85077E-05,7.47655E-06,0,0,0,0
39,40,1,0.9,0,3.25765E-05,1.0218E-05,0,0,0,0
40,41,1,0.95,0,2.17824E-05,1.39876E-05,0,0,0,0
41,42,0,1,0,2.41175E-05,5.72631E-06,0,0,0,0
42,43,0.95,1,0,0,0,0,0,0,0
43,44,0.9,1,0,1.063E-05,-5.49241E-06,0,0,0,0
44,45,0.85,1,0,1.56738E-05,-7.70901E-06,0,0,0,0
45,46,0.8,1,0,1.83141E-05,-8.75232E-06,0,0,0,0
46,47,0.75,1,0,1.95984E-05,-9.15073E-06,0,0,0,0
47,48,0.7,1,0,2.00582E-05,-9.18368E-06,0,0,0,0
48,49,0.65,1,0,1.99741E-05,-8.98531E-06,0,0,0,0
49,50,0.6,1,0,1.95086E-05,-8.64433E-06,0,0,0,0
50,51,0.55,1,0,1.87678E-05,-8.22903E-06,0,0,0,0
51,52,0.5,1,0,1.7834E-05,-7.79633E-06,0,0,0,0
52,53,0.45,1,0,1.67783E-05,-7.39033E-06,0,0,0,0
53,54,0.4,1,0,1.56698E-05,-7.04205E-06,0,0,0,0
54,55,0.35,1,0,1.45814E-05,-6.76576E-06,0,0,0,0
55,56,0.3,1,0,1.35933E-05,-6.55748E-06,0,0,0,0
56,57,0.25,1,0,1.28049E-05,-6.39775E-06,0,0,0,0
57,58,0.2,1,0,1.23687E-05,-6.24297E-06,0,0,0,0
58,59,0.15,1,0,1.25508E-05,-5.98981E-06,0,0,0,0
59,60,0.1,1,0,1.3767E-05,-5.30616E-06,0,0,0,0
60,61,0.05,1,0,1.72329E-05,-2.50878E-06,0,0,0,0
61,62,0,0.95,0,1.00356E-05,3.72567E-06,0,0,0,0
62,63,0,0.9,0,0,0,0,0,0,0
63,64,0,0.85,0,0,0,0,0,0,0
64,65,0,0.8,0,0,0,0,0,0,0
65,66,0,0.75,0,0,0,0,0,0,0
66,67,0,0.7,0,0,0,0,0,0,0
67,68,0,0.65,0,0,0,0,0,0,0
68,69,0,0.6,0,0,0,0,0,0,0
69,70,0,0.55,0,0,0,0,0,0,0
70,71,0,0.5,0,0,0,0,0,0,0
71,72,0,0.45,0,0,0,0,0,0,0
72,73,0,0.4,0,0,0,0,0,0,0
73,74,0,0.35,0,0,0,0,0,0,0
74,75,0,0.3,0,0,0,0,0,0,0
75,76,0,0.25,0,0,0,0,0,0,0
76,77,0,0.2,0,0,0,0,0,0,0
77,78,0,0.15,0,0,0,0,0,0,0
78,79,0,0.1,0,0,0,0,0,0,0
79,80,0,0.05,0,0,0,0,0,0,0
80,81,0.55,0.5,0,0,0,0,0,0,0
81,82,0.531174,0.539092,0,1.32656E-05,8.93605E-07,0,0,0,0
82,83,0.488874,0.548746,0,1.2921E-05,-5.75773E-07,0,0,0,0
83,84,0.454952,0.521694,0,1.12638E-05,-4.82123E-07,0,0,0,0
84,85,0.454952,0.478306,0,1.11139E-05,9.46062E-08,0,0,0,0
85,86,0.488874,0.451254,0,1.26458E-05,4.48558E-07,0,0,0,0
86,87,0.531174,0.460908,0,1.26072E-05,-1.32656E-06,0,0,0,0
87,88,0.967136,0.967417,0,1.46131E-05,5.48989E-06,0,0,0,0
